title,artist,top genre,year,bpm,energy,danceability,live,valence,duration,acousticness,speechiness,popularity
Payphone,Maroon 5,pop,2012,110,75,74,29,55,231,2,4,82
Set Fire to the Rain,Adele,british soul,2012,108,67,60,11,45,243,0,2,81
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,11,66,193,1,4,81
a thousand years,Christina Perri,pop,2012,139,41,42,11,16,285,31,3,81
Work Out,J. Cole,conscious hip hop,2012,93,43,83,31,22,235,5,11,81
Ho Hey,The Lumineers,folk-pop,2012,80,47,69,9,35,163,79,3,81
Drive By,Train,dance pop,2012,122,84,77,8,72,196,0,3,81
It Will Rain,Bruno Mars,dance pop,2012,150,84,58,8,48,258,34,5,80
Ni**as In Paris,JAY-Z,east coast hip hop,2012,140,86,79,35,78,219,13,31,80
Moves Like Jagger,Maroon 5,pop,2012,128,75,72,35,60,203,1,5,80
Someone Like You,Adele,british soul,2012,135,32,56,10,29,285,89,3,79
Rolling in the Deep,Adele,british soul,2012,105,77,73,5,51,228,14,3,79
Titanium (feat. Sia),David Guetta,big room,2012,126,79,60,13,30,245,7,10,79
Wild Ones (feat. Sia),Flo Rida,dance pop,2012,127,86,61,26,44,233,10,6,79
Everybody Talks,Neon Trees,modern rock,2012,155,92,47,31,72,177,0,6,79
Good Feeling,Flo Rida,dance pop,2012,128,89,71,31,68,248,6,7,78
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,65,27,80,211,3,10,78
Starships,Nicki Minaj,hip pop,2012,125,72,75,25,75,211,14,8,78
Love You Like A Love Song,Selena Gomez & The Scene,pop,2012,117,68,86,7,92,188,8,5,78
Wide Awake,Katy Perry,pop,2012,160,68,52,39,57,221,7,4,77
Die Young,Kesha,dance pop,2012,128,70,71,22,80,212,0,5,77
One More Night,Maroon 5,pop,2012,93,82,72,8,62,220,6,3,77
International Love (feat. Chris Brown),Pitbull,dance pop,2012,120,86,67,34,65,227,1,5,77
Glad You Came,The Wanted,boy band,2012,127,85,72,11,45,198,3,6,77
Whistle,Flo Rida,dance pop,2012,104,94,75,29,74,225,2,5,76
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,38,8,74,251,2,8,76
Good Time,Owl City,indietronica,2012,126,87,56,37,68,206,2,14,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,12,75,193,1,9,76
Springsteen,Eric Church,contemporary country,2012,104,81,69,19,93,263,10,3,75
Somebody That I Used To Know,Gotye,australian pop,2012,129,52,87,10,75,245,55,4,75
Domino,Jessie J,dance pop,2012,127,56,76,4,78,232,1,3,75
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,g funk,2012,95,66,72,12,53,207,5,14,75
Take Care,Drake,canadian hip hop,2012,122,52,63,9,30,277,3,27,74
Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,13,33,171,4,5,74
Diamonds,Rihanna,barbadian pop,2012,92,67,55,14,41,225,0,4,74
Part Of Me,Katy Perry,pop,2012,130,92,68,7,77,216,0,4,73
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,11,68,222,5,5,73
BURN IT DOWN,Linkin Park,alternative metal,2012,110,97,59,7,59,230,1,5,73
Party Rock Anthem,LMFAO,dance pop,2012,130,74,75,27,36,262,2,16,73
Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,22,44,243,0,9,73
You Da One,Rihanna,barbadian pop,2012,127,72,70,13,86,200,50,4,73
The Motto,Drake,canadian hip hop,2012,202,44,77,11,39,182,0,36,72
It's Time,Imagine Dragons,modern rock,2012,105,88,66,14,86,240,2,4,72
The One That Got Away,Katy Perry,pop,2012,134,79,69,20,86,227,0,4,72
Gangnam Style (강남스타일),PSY,k-rap,2012,132,94,73,9,75,219,0,29,72
Without You (feat. Usher),David Guetta,big room,2012,128,61,61,16,40,208,23,3,69
I Don't Want This Night To End,Luke Bryan,contemporary country,2012,112,73,62,23,38,220,3,3,69
Give Your Heart a Break,Demi Lovato,pop,2012,123,70,65,14,57,205,23,5,68
Mercy,Kanye West,chicago rap,2012,140,50,56,17,43,329,7,41,68
Home,Phillip Phillips,folk-pop,2012,121,83,61,12,33,210,3,3,68
50 Ways to Say Goodbye,Train,dance pop,2012,140,94,59,14,74,248,0,5,68
Some Nights,fun.,baroque pop,2012,108,74,67,9,39,277,2,5,67
Sexy And I Know It,LMFAO,dance pop,2012,130,86,71,19,80,199,10,32,67
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2012,125,68,66,37,25,252,25,4,67
Even If It Breaks Your Heart,Eli Young Band,classic texas country,2012,208,53,50,10,57,221,0,4,66
I Won't Give Up,Jason Mraz,acoustic pop,2012,137,30,59,12,14,240,69,4,66
Somethin' 'Bout A Truck,Kip Moore,contemporary country,2012,176,79,55,63,79,214,7,4,66
Hard To Love,Lee Brice,contemporary country,2012,103,72,64,19,47,224,1,3,66
Pontoon,Little Big Town,contemporary country,2012,96,82,72,20,87,212,41,3,66
Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60,28,73,256,0,4,66
Red Solo Cup,Toby Keith,classic oklahoma country,2012,164,56,54,21,79,223,29,9,66
Scream,USHER,atl hip hop,2012,128,86,62,18,57,235,0,10,66
Let's Go (feat. Ne-Yo),Calvin Harris,dance pop,2012,128,88,71,29,88,233,1,6,65
As Long As You Love Me,Justin Bieber,canadian pop,2012,140,87,57,36,61,229,8,10,65
Adorn,Miguel,r&b,2012,179,59,62,13,22,196,7,18,65
Rack City,Tyga,hip hop,2012,99,34,93,19,27,203,4,37,65
Rumour Has It,Adele,british soul,2012,120,75,61,17,57,223,62,4,64
Turn Me On (feat. Nicki Minaj),David Guetta,big room,2012,128,79,70,57,41,200,5,6,64
Drunk On You,Luke Bryan,contemporary country,2012,144,87,56,17,48,214,17,4,64
Wanted,Hunter Hayes,contemporary country,2012,170,48,42,8,30,229,27,3,63
Fly Over States,Jason Aldean,contemporary country,2012,82,74,49,11,18,218,7,3,63
Not Over You,Gavin DeGraw,neo mellow,2012,142,89,63,17,36,219,33,5,62
So Good,B.o.B,atl hip hop,2012,86,90,66,22,59,213,4,14,61
Blown Away,Carrie Underwood,classic oklahoma country,2012,137,84,53,3,39,240,9,4,61
Don't Wake Me Up,Chris Brown,r&b,2012,128,69,60,14,21,222,5,5,61
Turn Up the Music,Chris Brown,r&b,2012,130,84,59,16,64,228,0,10,61
Lights - Single Version,Ellie Goulding,indietronica,2012,120,80,68,13,77,211,3,4,61
Drank in My Cup,Kirko Bangz,dirty south rap,2012,133,63,45,20,23,232,1,30,61
Pound The Alarm,Nicki Minaj,hip pop,2012,125,86,73,2,59,206,4,6,61
Want U Back,Cher Lloyd,dance pop,2012,98,89,70,47,57,214,7,8,60
Brokenhearted,Karmin,post-teen pop,2012,120,74,77,5,89,229,1,6,59
No Lie,2 Chainz,atl hip hop,2012,131,67,63,37,61,238,2,18,58
Dance (A$$) Remix,Big Sean,detroit hip hop,2012,160,73,79,8,72,220,3,35,58
Good Girl,Carrie Underwood,classic oklahoma country,2012,129,84,62,19,74,206,3,7,58
Climax,USHER,atl hip hop,2012,136,48,65,16,33,233,55,8,58
Too Close,Alex Clare,modern alternative rock,2012,126,69,59,11,27,257,1,4,57
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,dance pop,2012,130,84,72,15,65,222,13,5,57
Take A Little Ride,Jason Aldean,contemporary country,2012,164,87,47,21,77,188,4,4,56
5 O'Clock (feat. Lily Allen & Wiz Khalifa),T-Pain,dance pop,2012,83,74,52,10,35,281,7,23,56
"Back in Time - featured in ""Men In Black 3""",Pitbull,dance pop,2012,127,92,73,32,79,206,0,4,55
